ResetId	SymbolId	OpType	Duration	Input	Output
2183	1	TimedIO	100349300	ClientKeyExchange	Empty
2183	2	TimedIO	100406800	ChangeCipherSpec	Empty
2183	3	TimedIO	100835800	Finished	ChangeCipherSpecHandshakeFinished
2183	4	TimedIO	805900	ApplicationData	ApplicationDataConnectionClosed
2184	-1	Reset	695100	Reset	Reset
2184	0	TimedIO	100720700	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2184	1	TimedIO	100333800	ClientKeyExchange	Empty
2184	2	TimedIO	100347800	ChangeCipherSpec	Empty
2184	3	TimedIO	101221900	Finished	ChangeCipherSpecHandshakeFinished
2184	4	TimedIO	719800	ClientKeyExchange	Alert2.10ConnectionClosed
2185	-1	Reset	627700	Reset	Reset
2185	0	TimedIO	100503300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2185	1	TimedIO	100287900	ClientKeyExchange	Empty
2185	2	TimedIO	100408200	ChangeCipherSpec	Empty
2185	3	TimedIO	101017800	Finished	ChangeCipherSpecHandshakeFinished
2185	4	TimedIO	763100	Alert10	ConnectionClosed
2186	-1	Reset	909200	Reset	Reset
2186	0	TimedIO	100921400	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2186	1	TimedIO	100246300	ClientKeyExchange	Empty
2186	2	TimedIO	100234800	ChangeCipherSpec	Empty
2186	3	TimedIO	101121400	Finished	ChangeCipherSpecHandshakeFinished
2186	4	TimedIO	100166200	ApplicationDataEmpty	Empty
2187	-1	Reset	656200	Reset	Reset
2187	0	TimedIO	100641000	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2187	1	TimedIO	100312700	ClientKeyExchange	Empty
2187	2	TimedIO	100244500	ChangeCipherSpec	Empty
2187	3	TimedIO	101269500	Finished	ChangeCipherSpecHandshakeFinished
2187	4	TimedIO	470700	Finished	Alert2.10ConnectionClosed
2188	-1	Reset	595700	Reset	Reset
2188	0	TimedIO	100498500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2189	-1	Reset	729100	Reset	Reset
2189	0	TimedIO	603100	EmptyCertificate	Alert2.10ConnectionClosed
2190	-1	Reset	616300	Reset	Reset
2190	0	TimedIO	636800	Finished	Alert2.10ConnectionClosed
2191	-1	Reset	613600	Reset	Reset
2191	0	TimedIO	102497200	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
2192	-1	Reset	472000	Reset	Reset
2192	0	TimedIO	432900	ClientKeyExchange	Alert2.10ConnectionClosed
2193	-1	Reset	278300	Reset	Reset
2193	0	TimedIO	253900	ApplicationDataEmpty	Alert2.10ConnectionClosed
2194	-1	Reset	192200	Reset	Reset
2194	0	TimedIO	235200	Alert10	Alert2.10ConnectionClosed
2195	-1	Reset	185400	Reset	Reset
2195	0	TimedIO	229200	ApplicationData	Alert2.10ConnectionClosed
2196	-1	Reset	195300	Reset	Reset
2196	0	TimedIO	163000	ChangeCipherSpec	Alert2.10ConnectionClosed
2197	-1	Reset	165100	Reset	Reset
2197	0	TimedIO	100326200	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2197	1	TimedIO	818400	ClientHelloDHE	Alert2.10ConnectionClosed
2198	-1	Reset	856500	Reset	Reset
2198	0	TimedIO	100952100	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2198	1	TimedIO	514900	ClientHelloRSA	Alert2.10ConnectionClosed
2199	-1	Reset	450100	Reset	Reset
2199	0	TimedIO	100518000	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2199	1	TimedIO	343500	EmptyCertificate	Alert2.10ConnectionClosed
2200	-1	Reset	397500	Reset	Reset
2200	0	TimedIO	100390300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2200	1	TimedIO	542400	Finished	Alert2.10ConnectionClosed
2201	-1	Reset	496200	Reset	Reset
2201	0	TimedIO	100607100	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2201	1	TimedIO	384400	ChangeCipherSpec	Alert2.10ConnectionClosed
2202	-1	Reset	396800	Reset	Reset
